latitude,longitude,title,description
33.760316,101.242505,བྱེ་གཤོང་དགེ་ལྡན་བཤད་སྒྲུབ་གླིང,"SN_id: SNG2 Remarks: Verified based on the book""Monastereis of Amdo"""
35.398009,102.406985,རི་ངར་བཀྲ་ཤིས་དགེ་འཕེལ་དགོན,SN_id: SNG4 Remarks: Verified based on the information provided in the dataset
33.914861,103.991871,ཆུ་བར་དགོན,SN_id: SNG6 Remarks: Verified based on the information provided in the GE.Its the only temple located in Chuwa town or village.
34.812033,102.688046,ཨ་མཆོག་དགོན་དགའ་ལྡན་ཆོས་འཁོར་གླིང,SN_id: SNG8 Remarks: Verified based on GE.The temple shows on GE with its name
34.9969651480857,103.050647661595,མཛོད་དགེ་སྒར་རྙིང་དགའ་ལྡན་བཀྲ་ཤིས་ཆོས་འཕེལ་གླིང,SN_id: SNG9 Remarks: Verified based on the photos  provided in the following microblog. Link :: https://www.meipian.cn/d8dwakf
33.410179,102.247078,མཚེའུ་རུ་མའི་སེར་སྡེ,"SN_id: SNG10 Remarks: Verified based on the book""Monasteries of Amdo""Vol1"
34.98454,102.7724,ཙ་ཡུས་དགོན་དགའ་ལྡན་ཆོས་འཕེལ་གླིང,SN_id: SNG11 Remarks: Verified based on the information provided in this micro blog site Link : https://baike-baidu-com.translate.goog/item/%E6%89%8E%E6%B2%B9%E5%AF%BA/8352345?_x_tr_sl=zh-CN&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc
34.515406,103.704604,རྣ་ལུང་རི་ཁྲོད་དགའ་ལྡན་ཕུན་ཚོགས་གླིང,SN_id: SNG13 Remarks: nan
34.120438,103.502296,ཁ་པའི་བསམ་གྲུབ་བོན་དགོན,SN_id: SNG14 Remarks: This is the only temple close to the reference coordinateVerified based on the information provided in the dataset
37.729292,102.222344,ཧོར་ཞུག་ཆའི་དགོན་བཤད་སྒྲུབ་དར་རྒྱས་གླིང་-་ཧོར་དགོན,SN_id: SNG15 Remarks: nan
34.08223,103.476055,རང་གོང་མ་དགོན་ཆོས་ཀྱི་སྡེ་ཆེན་བཀྲ་ཤིས་དར་རྒྱས་གླིང,SN_id: SNG16 Remarks: not certain
33.755623,104.253641,སྤང་གདོང་དགོན་དམ་ཆོས་དར་རྒྱས་གླིང,SN_id: SNG17 Remarks: nan
33.977889,103.497914,ཁ་པ་ཀླུང་དགོན,SN_id: SNG18 Remarks: Verified based on GE
34.473057,103.107239,ཆོས་པའི་གཤིས་བཀྲ་ཤིས་ཆོས་འཁོར་གླིང,"SN_id: SNG19 Remarks: Verified based on the book ""Monasteris of Amdo""Vol2"
37.191439,103.377979,བྲི་གུང་དགོན་དགའ་ལྡན་ལེགས་བཤད་གླིང,"SN_id: SNG20 Remarks: Verified based on the book ""Monasteris of Amdo""Vol2"
33.988978,103.877818,ཏཱ་ཀ་དགོན་བཀྲ་ཤིས་བསམ་གཏན་གླིང,SN_id: SNG21 Remarks: nan
33.403146,101.951405,ཆུ་ཁ་མའི་དགོན་བཀྲ་ཤིས་ཆོས་གླིང,"SN_id: SNG22 Remarks: Verified based on the book""Monasteris of Amdo""Vol5"
